questionNo,displayQuestionNo,sourceQuestionNo,questionId,section,correctLetter,correctOptionId,difficulty,difficultyWeight,visualAsset,listeningAsset,maxPoints
1,1,1,g06-vocabulary-q01,vocabulary,B,opt_b,easy,1,assets/visuals/grade-06-q01.png,,
2,2,2,g06-vocabulary-q02,vocabulary,A,opt_a,easy,1,,,
3,3,3,g06-vocabulary-q03,vocabulary,A,opt_a,easy,1,,,
4,4,4,g06-vocabulary-q04,vocabulary,B,opt_b,easy,1,,,
5,5,6,g06-vocabulary-q05,vocabulary,B,opt_b,easy,1,,,
6,6,7,g06-vocabulary-q06,vocabulary,A,opt_a,easy,1,,,
7,7,8,g06-vocabulary-q07,vocabulary,A,opt_a,easy,1,assets/visuals/grade-06-q08.png,,
8,8,9,g06-vocabulary-q08,vocabulary,B,opt_b,easy,1,,,
9,9,10,g06-vocabulary-q09,vocabulary,A,opt_a,easy,1,,,
10,10,11,g06-vocabulary-q10,vocabulary,B,opt_b,medium,2,assets/visuals/grade-06-q11.png,,
11,11,12,g06-vocabulary-q11,vocabulary,A,opt_a,medium,2,,,
12,12,13,g06-vocabulary-q12,vocabulary,A,opt_a,medium,2,,,
13,13,14,g06-vocabulary-q13,vocabulary,A,opt_a,medium,2,,,
14,14,15,g06-vocabulary-q14,vocabulary,A,opt_a,medium,2,,,
15,15,16,g06-vocabulary-q15,vocabulary,B,opt_b,medium,2,assets/visuals/grade-06-q16.png,,
16,16,17,g06-vocabulary-q16,vocabulary,A,opt_a,medium,2,,,
17,17,18,g06-vocabulary-q17,vocabulary,B,opt_b,medium,2,,,
18,18,19,g06-vocabulary-q18,vocabulary,A,opt_a,medium,2,,,
19,19,21,g06-vocabulary-q19,vocabulary,B,opt_b,hard,3,assets/visuals/grade-06-q21.png,,
20,20,22,g06-vocabulary-q20,vocabulary,A,opt_a,hard,3,,,
21,21,23,g06-vocabulary-q21,vocabulary,A,opt_a,hard,3,,,
22,22,24,g06-vocabulary-q22,vocabulary,B,opt_b,hard,3,assets/visuals/grade-06-q24.png,,
23,23,25,g06-vocabulary-q23,vocabulary,B,opt_b,hard,3,,,
24,24,26,g06-grammar-q24,grammar,B,opt_b,easy,1,,,
25,25,27,g06-grammar-q25,grammar,A,opt_a,easy,1,,,
26,26,29,g06-grammar-q26,grammar,B,opt_b,easy,1,,,
27,27,30,g06-grammar-q27,grammar,B,opt_b,easy,1,,,
28,28,31,g06-grammar-q28,grammar,A,opt_a,medium,2,,,
29,29,32,g06-grammar-q29,grammar,A,opt_a,medium,2,,,
30,30,33,g06-grammar-q30,grammar,A,opt_a,medium,2,assets/visuals/grade-06-q33.png,,
31,31,34,g06-grammar-q31,grammar,B,opt_b,medium,2,,,
32,32,35,g06-grammar-q32,grammar,B,opt_b,medium,2,,,
33,33,36,g06-grammar-q33,grammar,B,opt_b,hard,3,,,
34,34,37,g06-grammar-q34,grammar,B,opt_b,hard,3,,,
35,35,39,g06-grammar-q35,grammar,A,opt_a,hard,3,,,
36,36,41,g06-reading-q36,reading,A,opt_a,easy,1,,,
37,37,42,g06-reading-q37,reading,A,opt_a,easy,1,,,
38,38,43,g06-reading-q38,reading,A,opt_a,easy,1,,,
39,39,44,g06-reading-q39,reading,A,opt_a,easy,1,,,
40,40,45,g06-reading-q40,reading,A,opt_a,easy,1,,,
41,41,46,g06-reading-q41,reading,A,opt_a,easy,1,,,
42,42,47,g06-reading-q42,reading,A,opt_a,medium,2,,,
43,43,48,g06-reading-q43,reading,A,opt_a,medium,2,,,
44,44,49,g06-reading-q44,reading,A,opt_a,medium,2,,,
45,45,50,g06-reading-q45,reading,A,opt_a,medium,2,,,
46,46,51,g06-reading-q46,reading,A,opt_a,medium,2,,,
47,47,52,g06-reading-q47,reading,A,opt_a,medium,2,,,
48,48,53,g06-reading-q48,reading,A,opt_a,hard,3,,,
49,49,54,g06-reading-q49,reading,A,opt_a,hard,3,,,
50,50,55,g06-reading-q50,reading,A,opt_a,hard,3,,,
51,51,56,g06-listening-q51,listening,B,opt_b,easy,1,,assets/listening/grade-06-listening.mp3,
52,52,57,g06-listening-q52,listening,B,opt_b,easy,1,,assets/listening/grade-06-listening.mp3,
53,53,58,g06-listening-q53,listening,B,opt_b,medium,2,,assets/listening/grade-06-listening.mp3,
54,54,59,g06-listening-q54,listening,B,opt_b,medium,2,,assets/listening/grade-06-listening.mp3,
55,55,60,g06-listening-q55,listening,A,opt_a,hard,3,,assets/listening/grade-06-listening.mp3,
56,56,,g06-speaking-q01,speaking,,,,,,,4
57,57,,g06-speaking-q02,speaking,,,,,,,4
58,58,,g06-speaking-q03,speaking,,,,,,,4
59,59,,g06-speaking-q04,speaking,,,,,,,4
60,60,,g06-speaking-q05,speaking,,,,,,,4
