questionNo,displayQuestionNo,sourceQuestionNo,questionId,section,correctLetter,correctOptionId,difficulty,difficultyWeight,visualAsset,listeningAsset,maxPoints
1,1,2,g03-vocabulary-q01,vocabulary,A,opt_a,easy,1,,,
2,2,3,g03-vocabulary-q02,vocabulary,A,opt_a,easy,1,,,
3,3,4,g03-vocabulary-q03,vocabulary,A,opt_a,easy,1,assets/visuals/grade-03-q04.png,,
4,4,5,g03-vocabulary-q04,vocabulary,A,opt_a,easy,1,,,
5,5,6,g03-vocabulary-q05,vocabulary,A,opt_a,easy,1,assets/visuals/grade-03-q06.png,,
6,6,7,g03-vocabulary-q06,vocabulary,A,opt_a,easy,1,,,
7,7,8,g03-vocabulary-q07,vocabulary,B,opt_b,easy,1,assets/visuals/grade-03-q08.png,,
8,8,9,g03-vocabulary-q08,vocabulary,A,opt_a,easy,1,,,
9,9,10,g03-vocabulary-q09,vocabulary,A,opt_a,medium,2,,,
10,10,11,g03-vocabulary-q10,vocabulary,A,opt_a,medium,2,assets/visuals/grade-03-q11.png,,
11,11,12,g03-vocabulary-q11,vocabulary,A,opt_a,medium,2,,,
12,12,13,g03-vocabulary-q12,vocabulary,A,opt_a,medium,2,,,
13,13,14,g03-vocabulary-q13,vocabulary,A,opt_a,medium,2,assets/visuals/grade-03-q14.png,,
14,14,15,g03-vocabulary-q14,vocabulary,A,opt_a,medium,2,,,
15,15,19,g03-vocabulary-q15,vocabulary,A,opt_a,medium,2,,,
16,16,20,g03-vocabulary-q16,vocabulary,A,opt_a,medium,2,,,
17,17,21,g03-vocabulary-q17,vocabulary,A,opt_a,hard,3,assets/visuals/grade-03-q21.png,,
18,18,22,g03-vocabulary-q18,vocabulary,A,opt_a,hard,3,,,
19,19,23,g03-vocabulary-q19,vocabulary,A,opt_a,hard,3,assets/visuals/grade-03-q23.png,,
20,20,24,g03-vocabulary-q20,vocabulary,A,opt_a,hard,3,,,
21,21,25,g03-vocabulary-q21,vocabulary,A,opt_a,hard,3,,,
22,22,26,g03-grammar-q22,grammar,B,opt_b,easy,1,assets/visuals/grade-03-q26.png,,
23,23,27,g03-grammar-q23,grammar,A,opt_a,easy,1,,,
24,24,28,g03-grammar-q24,grammar,B,opt_b,easy,1,,,
25,25,29,g03-grammar-q25,grammar,A,opt_a,easy,1,,,
26,26,30,g03-grammar-q26,grammar,B,opt_b,easy,1,,,
27,27,32,g03-grammar-q27,grammar,A,opt_a,medium,2,,,
28,28,33,g03-grammar-q28,grammar,A,opt_a,medium,2,,,
29,29,34,g03-grammar-q29,grammar,A,opt_a,medium,2,,,
30,30,35,g03-grammar-q30,grammar,A,opt_a,medium,2,assets/visuals/grade-03-q35.png,,
31,31,36,g03-grammar-q31,grammar,A,opt_a,medium,2,,,
32,32,37,g03-grammar-q32,grammar,A,opt_a,medium,2,,,
33,33,38,g03-grammar-q33,grammar,B,opt_b,hard,3,,,
34,34,39,g03-grammar-q34,grammar,A,opt_a,hard,3,,,
35,35,40,g03-grammar-q35,grammar,B,opt_b,hard,3,,,
36,36,41,g03-reading-q36,reading,A,opt_a,easy,1,,,
37,37,42,g03-reading-q37,reading,B,opt_b,easy,1,,,
38,38,43,g03-reading-q38,reading,A,opt_a,easy,1,,,
39,39,44,g03-reading-q39,reading,A,opt_a,easy,1,,,
40,40,45,g03-reading-q40,reading,A,opt_a,easy,1,,,
41,41,46,g03-reading-q41,reading,A,opt_a,easy,1,,,
42,42,47,g03-reading-q42,reading,A,opt_a,medium,2,,,
43,43,48,g03-reading-q43,reading,A,opt_a,medium,2,,,
44,44,49,g03-reading-q44,reading,A,opt_a,medium,2,,,
45,45,50,g03-reading-q45,reading,A,opt_a,medium,2,,,
46,46,51,g03-reading-q46,reading,A,opt_a,medium,2,,,
47,47,52,g03-reading-q47,reading,A,opt_a,medium,2,,,
48,48,53,g03-reading-q48,reading,A,opt_a,hard,3,,,
49,49,54,g03-reading-q49,reading,B,opt_b,hard,3,,,
50,50,55,g03-reading-q50,reading,A,opt_a,hard,3,,,
51,51,56,g03-listening-q51,listening,A,opt_a,easy,1,,assets/listening/grade-03-listening.mp3,
52,52,57,g03-listening-q52,listening,A,opt_a,easy,1,,assets/listening/grade-03-listening.mp3,
53,53,58,g03-listening-q53,listening,A,opt_a,medium,2,,assets/listening/grade-03-listening.mp3,
54,54,59,g03-listening-q54,listening,A,opt_a,medium,2,,assets/listening/grade-03-listening.mp3,
55,55,60,g03-listening-q55,listening,A,opt_a,hard,3,,assets/listening/grade-03-listening.mp3,
56,56,,g03-speaking-q01,speaking,,,,,,,4
57,57,,g03-speaking-q02,speaking,,,,,,,4
58,58,,g03-speaking-q03,speaking,,,,,,,4
59,59,,g03-speaking-q04,speaking,,,,,assets/speaking/grade-03-speaking-garfield-happy.png,,4
60,60,,g03-speaking-q05,speaking,,,,,,,4
