questionNo,displayQuestionNo,sourceQuestionNo,questionId,section,correctLetter,correctOptionId,difficulty,difficultyWeight,visualAsset,listeningAsset,maxPoints
1,1,1,g04-vocabulary-q01,vocabulary,B,opt_b,easy,1,assets/visuals/grade-04-q01.png,,
2,2,2,g04-vocabulary-q02,vocabulary,A,opt_a,easy,1,,,
3,3,4,g04-vocabulary-q03,vocabulary,A,opt_a,easy,1,assets/visuals/grade-04-q04.png,,
4,4,6,g04-vocabulary-q04,vocabulary,A,opt_a,easy,1,,,
5,5,7,g04-vocabulary-q05,vocabulary,A,opt_a,easy,1,,,
6,6,8,g04-vocabulary-q06,vocabulary,A,opt_a,easy,1,,,
7,7,9,g04-vocabulary-q07,vocabulary,A,opt_a,easy,1,assets/visuals/grade-04-q09.png,,
8,8,10,g04-vocabulary-q08,vocabulary,A,opt_a,easy,1,,,
9,9,11,g04-vocabulary-q09,vocabulary,A,opt_a,medium,2,assets/visuals/grade-04-q11.png,,
10,10,12,g04-vocabulary-q10,vocabulary,A,opt_a,medium,2,,,
11,11,13,g04-vocabulary-q11,vocabulary,A,opt_a,medium,2,,,
12,12,14,g04-vocabulary-q12,vocabulary,A,opt_a,medium,2,assets/visuals/grade-04-q14.png,,
13,13,15,g04-vocabulary-q13,vocabulary,A,opt_a,medium,2,,,
14,14,16,g04-vocabulary-q14,vocabulary,A,opt_a,medium,2,assets/visuals/grade-04-q16.png,,
15,15,17,g04-vocabulary-q15,vocabulary,A,opt_a,medium,2,,,
16,16,19,g04-vocabulary-q16,vocabulary,A,opt_a,medium,2,,,
17,17,20,g04-vocabulary-q17,vocabulary,A,opt_a,hard,3,,,
18,18,21,g04-vocabulary-q18,vocabulary,A,opt_a,hard,3,assets/visuals/grade-04-q21.png,,
19,19,22,g04-vocabulary-q19,vocabulary,A,opt_a,hard,3,,,
20,20,23,g04-vocabulary-q20,vocabulary,A,opt_a,hard,3,,,
21,21,24,g04-vocabulary-q21,vocabulary,A,opt_a,hard,3,,,
22,22,26,g04-grammar-q22,grammar,A,opt_a,easy,1,assets/visuals/grade-04-q26.png,,
23,23,27,g04-grammar-q23,grammar,A,opt_a,easy,1,,,
24,24,28,g04-grammar-q24,grammar,A,opt_a,easy,1,,,
25,25,29,g04-grammar-q25,grammar,A,opt_a,easy,1,,,
26,26,30,g04-grammar-q26,grammar,A,opt_a,easy,1,assets/visuals/grade-04-q30.png,,
27,27,31,g04-grammar-q27,grammar,A,opt_a,medium,2,,,
28,28,32,g04-grammar-q28,grammar,A,opt_a,medium,2,,,
29,29,33,g04-grammar-q29,grammar,A,opt_a,medium,2,,,
30,30,34,g04-grammar-q30,grammar,A,opt_a,medium,2,,,
31,31,35,g04-grammar-q31,grammar,A,opt_a,medium,2,assets/visuals/grade-04-q35.png,,
32,32,36,g04-grammar-q32,grammar,A,opt_a,medium,2,,,
33,33,37,g04-grammar-q33,grammar,A,opt_a,hard,3,,,
34,34,38,g04-grammar-q34,grammar,A,opt_a,hard,3,,,
35,35,39,g04-grammar-q35,grammar,A,opt_a,hard,3,,,
36,36,41,g04-reading-q36,reading,A,opt_a,easy,1,,,
37,37,42,g04-reading-q37,reading,A,opt_a,easy,1,,,
38,38,43,g04-reading-q38,reading,A,opt_a,easy,1,,,
39,39,44,g04-reading-q39,reading,A,opt_a,easy,1,,,
40,40,45,g04-reading-q40,reading,A,opt_a,easy,1,,,
41,41,46,g04-reading-q41,reading,A,opt_a,easy,1,,,
42,42,47,g04-reading-q42,reading,A,opt_a,medium,2,,,
43,43,48,g04-reading-q43,reading,A,opt_a,medium,2,,,
44,44,49,g04-reading-q44,reading,A,opt_a,medium,2,,,
45,45,50,g04-reading-q45,reading,A,opt_a,medium,2,,,
46,46,51,g04-reading-q46,reading,A,opt_a,medium,2,,,
47,47,52,g04-reading-q47,reading,A,opt_a,medium,2,,,
48,48,53,g04-reading-q48,reading,A,opt_a,hard,3,,,
49,49,54,g04-reading-q49,reading,A,opt_a,hard,3,,,
50,50,55,g04-reading-q50,reading,A,opt_a,hard,3,,,
51,51,56,g04-listening-q51,listening,A,opt_a,easy,1,,assets/listening/grade-04-listening.mp3,
52,52,57,g04-listening-q52,listening,A,opt_a,easy,1,,assets/listening/grade-04-listening.mp3,
53,53,58,g04-listening-q53,listening,A,opt_a,medium,2,,assets/listening/grade-04-listening.mp3,
54,54,59,g04-listening-q54,listening,A,opt_a,medium,2,,assets/listening/grade-04-listening.mp3,
55,55,60,g04-listening-q55,listening,A,opt_a,hard,3,,assets/listening/grade-04-listening.mp3,
56,56,,g04-speaking-q01,speaking,,,,,,,4
57,57,,g04-speaking-q02,speaking,,,,,assets/speaking/grade-04-speaking-superman.png,,4
58,58,,g04-speaking-q03,speaking,,,,,assets/speaking/grade-04-speaking-batman-bicycle.png,,4
59,59,,g04-speaking-q04,speaking,,,,,,,4
60,60,,g04-speaking-q05,speaking,,,,,,,4
