questionNo,displayQuestionNo,sourceQuestionNo,questionId,section,correctLetter,correctOptionId,difficulty,difficultyWeight,visualAsset,listeningAsset,maxPoints
1,1,1,g10-vocabulary-q01,vocabulary,B,opt_b,easy,1,assets/visuals/grade-10-q01.png,,
2,2,2,g10-vocabulary-q02,vocabulary,B,opt_b,easy,1,,,
3,3,3,g10-vocabulary-q03,vocabulary,A,opt_a,easy,1,,,
4,4,4,g10-vocabulary-q04,vocabulary,A,opt_a,easy,1,,,
5,5,5,g10-vocabulary-q05,vocabulary,A,opt_a,easy,1,assets/visuals/grade-10-q05.png,,
6,6,6,g10-vocabulary-q06,vocabulary,A,opt_a,easy,1,,,
7,7,7,g10-vocabulary-q07,vocabulary,A,opt_a,easy,1,,,
8,8,8,g10-vocabulary-q08,vocabulary,A,opt_a,easy,1,,,
9,9,9,g10-vocabulary-q09,vocabulary,A,opt_a,medium,2,assets/visuals/grade-10-q09.png,,
10,10,11,g10-vocabulary-q10,vocabulary,A,opt_a,medium,2,,,
11,11,12,g10-vocabulary-q11,vocabulary,A,opt_a,medium,2,,,
12,12,13,g10-vocabulary-q12,vocabulary,A,opt_a,medium,2,assets/visuals/grade-10-q13.png,,
13,13,14,g10-vocabulary-q13,vocabulary,A,opt_a,medium,2,,,
14,14,15,g10-vocabulary-q14,vocabulary,A,opt_a,medium,2,assets/visuals/grade-10-q15.png,,
15,15,16,g10-vocabulary-q15,vocabulary,A,opt_a,medium,2,,,
16,16,17,g10-vocabulary-q16,vocabulary,A,opt_a,medium,2,,,
17,17,18,g10-vocabulary-q17,vocabulary,A,opt_a,medium,2,assets/visuals/grade-10-q18.png,,
18,18,20,g10-vocabulary-q18,vocabulary,A,opt_a,hard,3,,,
19,19,21,g10-vocabulary-q19,vocabulary,A,opt_a,hard,3,,,
20,20,23,g10-vocabulary-q20,vocabulary,A,opt_a,hard,3,assets/visuals/grade-10-q23.png,,
21,21,24,g10-vocabulary-q21,vocabulary,A,opt_a,hard,3,,,
22,22,25,g10-vocabulary-q22,vocabulary,A,opt_a,hard,3,,,
23,23,26,g10-grammar-q23,grammar,B,opt_b,easy,1,assets/visuals/grade-10-q26.png,,
24,24,28,g10-grammar-q24,grammar,A,opt_a,easy,1,,,
25,25,29,g10-grammar-q25,grammar,A,opt_a,easy,1,,,
26,26,30,g10-grammar-q26,grammar,A,opt_a,easy,1,,,
27,27,31,g10-grammar-q27,grammar,A,opt_a,easy,1,assets/visuals/grade-10-q31.png,,
28,28,32,g10-grammar-q28,grammar,A,opt_a,medium,2,,,
29,29,33,g10-grammar-q29,grammar,A,opt_a,medium,2,,,
30,30,34,g10-grammar-q30,grammar,A,opt_a,medium,2,,,
31,31,35,g10-grammar-q31,grammar,A,opt_a,medium,2,,,
32,32,37,g10-grammar-q32,grammar,A,opt_a,medium,2,,,
33,33,38,g10-grammar-q33,grammar,A,opt_a,hard,3,,,
34,34,39,g10-grammar-q34,grammar,A,opt_a,hard,3,,,
35,35,40,g10-grammar-q35,grammar,A,opt_a,hard,3,,,
36,36,41,g10-reading-q36,reading,A,opt_a,easy,1,,,
37,37,42,g10-reading-q37,reading,A,opt_a,easy,1,,,
38,38,43,g10-reading-q38,reading,A,opt_a,easy,1,,,
39,39,44,g10-reading-q39,reading,A,opt_a,easy,1,,,
40,40,45,g10-reading-q40,reading,A,opt_a,easy,1,,,
41,41,46,g10-reading-q41,reading,A,opt_a,easy,1,,,
42,42,47,g10-reading-q42,reading,A,opt_a,medium,2,,,
43,43,48,g10-reading-q43,reading,A,opt_a,medium,2,,,
44,44,49,g10-reading-q44,reading,A,opt_a,medium,2,,,
45,45,50,g10-reading-q45,reading,A,opt_a,medium,2,,,
46,46,51,g10-reading-q46,reading,A,opt_a,medium,2,,,
47,47,52,g10-reading-q47,reading,A,opt_a,medium,2,,,
48,48,53,g10-reading-q48,reading,A,opt_a,hard,3,,,
49,49,54,g10-reading-q49,reading,A,opt_a,hard,3,,,
50,50,55,g10-reading-q50,reading,A,opt_a,hard,3,,,
51,51,56,g10-listening-q51,listening,A,opt_a,easy,1,,assets/listening/grade-10-listening.mp3,
52,52,57,g10-listening-q52,listening,B,opt_b,easy,1,,assets/listening/grade-10-listening.mp3,
53,53,58,g10-listening-q53,listening,B,opt_b,medium,2,,assets/listening/grade-10-listening.mp3,
54,54,59,g10-listening-q54,listening,A,opt_a,medium,2,,assets/listening/grade-10-listening.mp3,
55,55,60,g10-listening-q55,listening,A,opt_a,hard,3,,assets/listening/grade-10-listening.mp3,
56,56,,g10-speaking-q01,speaking,,,,,,,4
57,57,,g10-speaking-q02,speaking,,,,,,,4
58,58,,g10-speaking-q03,speaking,,,,,,,4
59,59,,g10-speaking-q04,speaking,,,,,,,4
60,60,,g10-speaking-q05,speaking,,,,,,,4
