questionNo,displayQuestionNo,sourceQuestionNo,questionId,section,correctLetter,correctOptionId,difficulty,difficultyWeight,visualAsset,listeningAsset,maxPoints
1,1,1,g02-vocabulary-q01,vocabulary,A,opt_a,easy,1,assets/visuals/grade-02-q01.png,,
2,2,2,g02-vocabulary-q02,vocabulary,A,opt_a,easy,1,,,
3,3,3,g02-vocabulary-q03,vocabulary,A,opt_a,easy,1,assets/visuals/grade-02-q03.png,,
4,4,4,g02-vocabulary-q04,vocabulary,A,opt_a,easy,1,,,
5,5,5,g02-vocabulary-q05,vocabulary,B,opt_b,easy,1,assets/visuals/grade-02-q05.png,,
6,6,6,g02-vocabulary-q06,vocabulary,B,opt_b,easy,1,assets/visuals/grade-02-q06.png,,
7,7,7,g02-vocabulary-q07,vocabulary,A,opt_a,easy,1,,,
8,8,8,g02-vocabulary-q08,vocabulary,A,opt_a,easy,1,assets/visuals/grade-02-q08.png,,
9,9,9,g02-vocabulary-q09,vocabulary,A,opt_a,medium,2,,,
10,10,10,g02-vocabulary-q10,vocabulary,A,opt_a,medium,2,,,
11,11,11,g02-vocabulary-q11,vocabulary,B,opt_b,medium,2,assets/visuals/grade-02-q11.png,,
12,12,12,g02-vocabulary-q12,vocabulary,B,opt_b,medium,2,,,
13,13,13,g02-vocabulary-q13,vocabulary,B,opt_b,medium,2,,,
14,14,14,g02-vocabulary-q14,vocabulary,A,opt_a,medium,2,assets/visuals/grade-02-q14.png,,
15,15,15,g02-vocabulary-q15,vocabulary,A,opt_a,medium,2,,,
16,16,16,g02-vocabulary-q16,vocabulary,B,opt_b,medium,2,assets/visuals/grade-02-q16.png,,
17,17,17,g02-vocabulary-q17,vocabulary,B,opt_b,hard,3,,,
18,18,18,g02-vocabulary-q18,vocabulary,A,opt_a,hard,3,,,
19,19,19,g02-vocabulary-q19,vocabulary,B,opt_b,hard,3,,,
20,20,20,g02-vocabulary-q20,vocabulary,A,opt_a,hard,3,assets/visuals/grade-02-q20.png,,
21,21,26,g02-grammar-q21,grammar,B,opt_b,easy,1,assets/visuals/grade-02-q26.png,,
22,22,27,g02-grammar-q22,grammar,B,opt_b,easy,1,,,
23,23,28,g02-grammar-q23,grammar,A,opt_a,easy,1,,,
24,24,29,g02-grammar-q24,grammar,A,opt_a,easy,1,,,
25,25,30,g02-grammar-q25,grammar,B,opt_b,easy,1,,,
26,26,31,g02-grammar-q26,grammar,B,opt_b,easy,1,assets/visuals/grade-02-q31.png,,
27,27,32,g02-grammar-q27,grammar,A,opt_a,medium,2,,,
28,28,33,g02-grammar-q28,grammar,B,opt_b,medium,2,,,
29,29,34,g02-grammar-q29,grammar,B,opt_b,medium,2,,,
30,30,35,g02-grammar-q30,grammar,A,opt_a,medium,2,,,
31,31,36,g02-grammar-q31,grammar,B,opt_b,medium,2,assets/visuals/grade-02-q36.png,,
32,32,37,g02-grammar-q32,grammar,A,opt_a,medium,2,,,
33,33,38,g02-grammar-q33,grammar,B,opt_b,hard,3,,,
34,34,39,g02-grammar-q34,grammar,B,opt_b,hard,3,,,
35,35,40,g02-grammar-q35,grammar,A,opt_a,hard,3,,,
36,36,41,g02-reading-q36,reading,A,opt_a,easy,1,,,
37,37,42,g02-reading-q37,reading,B,opt_b,easy,1,,,
38,38,43,g02-reading-q38,reading,B,opt_b,easy,1,,,
39,39,44,g02-reading-q39,reading,A,opt_a,easy,1,,,
40,40,45,g02-reading-q40,reading,A,opt_a,easy,1,,,
41,41,46,g02-reading-q41,reading,A,opt_a,easy,1,,,
42,42,47,g02-reading-q42,reading,B,opt_b,medium,2,,,
43,43,48,g02-reading-q43,reading,A,opt_a,medium,2,,,
44,44,49,g02-reading-q44,reading,B,opt_b,medium,2,,,
45,45,50,g02-reading-q45,reading,B,opt_b,medium,2,,,
46,46,51,g02-reading-q46,reading,A,opt_a,medium,2,,,
47,47,52,g02-reading-q47,reading,A,opt_a,medium,2,,,
48,48,53,g02-reading-q48,reading,A,opt_a,hard,3,,,
49,49,54,g02-reading-q49,reading,A,opt_a,hard,3,,,
50,50,55,g02-reading-q50,reading,B,opt_b,hard,3,,,
51,51,56,g02-listening-q51,listening,A,opt_a,easy,1,,assets/listening/grade-02-listening.mp3,
52,52,57,g02-listening-q52,listening,B,opt_b,easy,1,,assets/listening/grade-02-listening.mp3,
53,53,58,g02-listening-q53,listening,B,opt_b,medium,2,,assets/listening/grade-02-listening.mp3,
54,54,59,g02-listening-q54,listening,A,opt_a,medium,2,,assets/listening/grade-02-listening.mp3,
55,55,60,g02-listening-q55,listening,A,opt_a,hard,3,,assets/listening/grade-02-listening.mp3,
56,56,,g02-speaking-q01,speaking,,,,,,,4
57,57,,g02-speaking-q02,speaking,,,,,,,4
58,58,,g02-speaking-q03,speaking,,,,,assets/speaking/grade-02-speaking-garfield-shirt.png,,4
59,59,,g02-speaking-q04,speaking,,,,,assets/speaking/grade-02-speaking-minnie-angry.png,,4
60,60,,g02-speaking-q05,speaking,,,,,assets/speaking/grade-02-speaking-schoolbag.png,,4
