questionNo,displayQuestionNo,sourceQuestionNo,questionId,section,correctLetter,correctOptionId,difficulty,difficultyWeight,visualAsset,listeningAsset,maxPoints
1,1,1,g11-vocabulary-q01,vocabulary,B,opt_b,easy,1,assets/visuals/grade-11-q01.png,,
2,2,2,g11-vocabulary-q02,vocabulary,A,opt_a,easy,1,,,
3,3,3,g11-vocabulary-q03,vocabulary,A,opt_a,easy,1,,,
4,4,4,g11-vocabulary-q04,vocabulary,A,opt_a,easy,1,,,
5,5,5,g11-vocabulary-q05,vocabulary,B,opt_b,easy,1,,,
6,6,7,g11-vocabulary-q06,vocabulary,A,opt_a,easy,1,,,
7,7,8,g11-vocabulary-q07,vocabulary,A,opt_a,easy,1,,,
8,8,9,g11-vocabulary-q08,vocabulary,A,opt_a,easy,1,,,
9,9,10,g11-vocabulary-q09,vocabulary,A,opt_a,medium,2,,,
10,10,12,g11-vocabulary-q10,vocabulary,A,opt_a,medium,2,,,
11,11,13,g11-vocabulary-q11,vocabulary,A,opt_a,medium,2,,,
12,12,14,g11-vocabulary-q12,vocabulary,A,opt_a,medium,2,,,
13,13,15,g11-vocabulary-q13,vocabulary,A,opt_a,medium,2,,,
14,14,16,g11-vocabulary-q14,vocabulary,A,opt_a,medium,2,,,
15,15,18,g11-vocabulary-q15,vocabulary,A,opt_a,medium,2,,,
16,16,20,g11-vocabulary-q16,vocabulary,A,opt_a,medium,2,,,
17,17,21,g11-vocabulary-q17,vocabulary,A,opt_a,hard,3,assets/visuals/grade-11-q21.png,,
18,18,22,g11-vocabulary-q18,vocabulary,A,opt_a,hard,3,,,
19,19,23,g11-vocabulary-q19,vocabulary,A,opt_a,hard,3,,,
20,20,24,g11-vocabulary-q20,vocabulary,A,opt_a,hard,3,,,
21,21,25,g11-vocabulary-q21,vocabulary,A,opt_a,hard,3,assets/visuals/grade-11-q25.png,,
22,22,26,g11-grammar-q22,grammar,A,opt_a,easy,1,,,
23,23,27,g11-grammar-q23,grammar,A,opt_a,easy,1,,,
24,24,28,g11-grammar-q24,grammar,A,opt_a,easy,1,,,
25,25,29,g11-grammar-q25,grammar,A,opt_a,easy,1,,,
26,26,31,g11-grammar-q26,grammar,A,opt_a,easy,1,,,
27,27,32,g11-grammar-q27,grammar,A,opt_a,medium,2,,,
28,28,33,g11-grammar-q28,grammar,A,opt_a,medium,2,,,
29,29,34,g11-grammar-q29,grammar,A,opt_a,medium,2,,,
30,30,35,g11-grammar-q30,grammar,A,opt_a,medium,2,assets/visuals/grade-11-q35.png,,
31,31,36,g11-grammar-q31,grammar,A,opt_a,medium,2,,,
32,32,37,g11-grammar-q32,grammar,A,opt_a,medium,2,,,
33,33,38,g11-grammar-q33,grammar,A,opt_a,hard,3,,,
34,34,39,g11-grammar-q34,grammar,A,opt_a,hard,3,,,
35,35,40,g11-grammar-q35,grammar,A,opt_a,hard,3,,,
36,36,41,g11-reading-q36,reading,A,opt_a,easy,1,,,
37,37,42,g11-reading-q37,reading,A,opt_a,easy,1,,,
38,38,43,g11-reading-q38,reading,A,opt_a,easy,1,,,
39,39,44,g11-reading-q39,reading,A,opt_a,easy,1,,,
40,40,45,g11-reading-q40,reading,A,opt_a,easy,1,,,
41,41,46,g11-reading-q41,reading,A,opt_a,easy,1,,,
42,42,47,g11-reading-q42,reading,A,opt_a,medium,2,,,
43,43,48,g11-reading-q43,reading,A,opt_a,medium,2,,,
44,44,49,g11-reading-q44,reading,A,opt_a,medium,2,,,
45,45,50,g11-reading-q45,reading,A,opt_a,medium,2,,,
46,46,51,g11-reading-q46,reading,A,opt_a,medium,2,,,
47,47,52,g11-reading-q47,reading,A,opt_a,medium,2,,,
48,48,53,g11-reading-q48,reading,A,opt_a,hard,3,,,
49,49,54,g11-reading-q49,reading,A,opt_a,hard,3,,,
50,50,55,g11-reading-q50,reading,A,opt_a,hard,3,,,
51,51,56,g11-listening-q51,listening,A,opt_a,easy,1,,assets/listening/grade-11-listening.mp3,
52,52,57,g11-listening-q52,listening,A,opt_a,easy,1,,assets/listening/grade-11-listening.mp3,
53,53,58,g11-listening-q53,listening,A,opt_a,medium,2,,assets/listening/grade-11-listening.mp3,
54,54,59,g11-listening-q54,listening,A,opt_a,medium,2,,assets/listening/grade-11-listening.mp3,
55,55,60,g11-listening-q55,listening,A,opt_a,hard,3,,assets/listening/grade-11-listening.mp3,
56,56,,g11-speaking-q01,speaking,,,,,,,4
57,57,,g11-speaking-q02,speaking,,,,,,,4
58,58,,g11-speaking-q03,speaking,,,,,,,4
59,59,,g11-speaking-q04,speaking,,,,,,,4
60,60,,g11-speaking-q05,speaking,,,,,,,4
